"Code","DOI","Country","Site.ID","CID","C.Descrip","M.Year","Units","MeanC","Out.SubInd","PrName","Product.Simple","DD.Variable","DD.Unit_Control","DD.Unit_trt","DD.Value_Control","TID","T.Descrip","Tree.Feed","MeanT","VarianceT","DD.Value_trt"
"JS0046","10.1007/s11250-009-9307-x","Burkina Faso","CIRDES, Bobo-Dioulasso","T2","Cotton seed Cake Diet","2006","kg/individual",21,"Meat Yield","Feed Substitution","Sheep",NA,NA,NA,NA,"T1..T4..T3","A. africana Diet..P. erinaceus Diet..K. senegalensis Diet","Afzelia africana..Pterocarpus erinaceus..Khaya senegalensis",17.0333333333333,1.14333333333333,NA
"JS0046","10.1007/s11250-009-9307-x","Burkina Faso","CIRDES, Bobo-Dioulasso","T2","Cotton seed Cake Diet","2006","kg/individual",24.7,"Meat Yield","Feed Substitution","Sheep",NA,NA,NA,NA,"T1..T4..T3","A. africana Diet..P. erinaceus Diet..K. senegalensis Diet","Afzelia africana..Pterocarpus erinaceus..Khaya senegalensis",21.3333333333333,0.603333333333333,NA
"JS0046","10.1007/s11250-009-9307-x","Burkina Faso","CIRDES, Bobo-Dioulasso","T2","Cotton seed Cake Diet","2006","kg/individual",25.5,"Meat Yield","Feed Substitution","Sheep",NA,NA,NA,NA,"T1..T4..T3","A. africana Diet..P. erinaceus Diet..K. senegalensis Diet","Afzelia africana..Pterocarpus erinaceus..Khaya senegalensis",21.6666666666667,0.503333333333335,NA
"JS0048","10.1016/j.livsci.2007.12.011","Burkina Faso","CRREA, Katchari","T1","T D1 T Con","2006","kg/d/individual",0.051,"Weight Gain","Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4","T D2 A. Senegal pods..T D3 P.lucens leaves..T D4 P.lucens pods","Acacia senegal..Pterocarpus lucens",0.045,0.000331,NA
"JS0048","10.1016/j.livsci.2007.12.011","Burkina Faso","CRREA, Katchari","T1","T D1 T Con","2006","kg/d/individual",8.04,"Weight Gain","Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4","T D2 A. Senegal pods..T D3 P.lucens leaves..T D4 P.lucens pods","Acacia senegal..Pterocarpus lucens",8.30666666666667,1.14703333333333,NA
"JS0048","10.1016/j.livsci.2007.12.011","Burkina Faso","CRREA, Katchari","T1","T D1 T Con","2006","kg/d/individual",15.35,"Weight Gain","Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4","T D2 A. Senegal pods..T D3 P.lucens leaves..T D4 P.lucens pods","Acacia senegal..Pterocarpus lucens",15.6666666666667,1.50453333333333,NA
"JS0048","10.1016/j.livsci.2007.12.011","Burkina Faso","CRREA, Katchari","T1","T D1 T Con","2006","kg/d/individual",18.62,"Weight Gain","Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4","T D2 A. Senegal pods..T D3 P.lucens leaves..T D4 P.lucens pods","Acacia senegal..Pterocarpus lucens",18.59,2.9092,NA
"JS0048","10.1016/j.livsci.2007.12.011","Burkina Faso","CRREA, Katchari","T1","T D1 T Con","2006","kg/individual",18.76,"Meat Yield","Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4","T D2 A. Senegal pods..T D3 P.lucens leaves..T D4 P.lucens pods","Acacia senegal..Pterocarpus lucens",18.9333333333333,1.72013333333333,NA
"JS0115","10.1023/a:;1010337628292","Egypt","Experimental Farm, Department of Animal Production, College of Agricultural Science, El-Arish","T3","Rice Con","1997","kg/d/individual",0.427,"Milk Yield","Feed Substitution","Goat",NA,NA,NA,NA,"T1","Acacia","Acacia saligna",0.814,NA,NA
"JS0115","10.1023/a:;1010337628292","Egypt","Experimental Farm, Department of Animal Production, College of Agricultural Science, El-Arish","T3","Rice Con","1997","kg/individual",30,"Meat Yield","Feed Substitution","Goat",NA,NA,NA,NA,"T1","Acacia","Acacia saligna",32.1,NA,NA
"JS0118","10.5897/AJB11.1595","Egypt","NRC Nubaria Experimental Station","T1","T D1 Con Cumin","2009","kg/d/individual",0.12,"Weight Gain","Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4","T D2 Jatropha SM 1..T D3 Jatropha SM 2..T D4 Jatropha SM 3","Jatropha curcas",0.114633333333333,6.98233333333334e-05,NA
"JS0118","10.5897/AJB11.1595","Egypt","NRC Nubaria Experimental Station","T1","T D1 Con Cumin","2009","kg/individual",33.95,"Meat Yield","Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4","T D2 Jatropha SM 1..T D3 Jatropha SM 2..T D4 Jatropha SM 3","Jatropha curcas",33.62,0.505300000000001,NA
"JS0172","10.1016/s0301-6226(96)01399-1","Tanzania","LPRI Mpwapwa","T2","Hay + Concentrate","1995","g/d/individual",-10.7,"Weight Gain","Feed Substitution","Goat",NA,NA,NA,NA,"T1..T3..T4","Hay + Albiziz harveyi..Hay + Delonix elata..Hay + Grewia similis","Albizia harveyi..Delonix elata..Grewia similis",-33.1333333333333,2602.50333333333,NA
"JS0172","10.1016/s0301-6226(96)01399-1","Tanzania","LPRI Mpwapwa","T2","Hay + Concentrate","1995","g/d/individual",139,"Milk Yield","Feed Substitution","Goat",NA,NA,NA,NA,"T1..T3..T4","Hay + Albiziz harveyi..Hay + Delonix elata..Hay + Grewia similis","Albizia harveyi..Delonix elata..Grewia similis",108.333333333333,1304.33333333333,NA
"JS0176","10.1023/a:;1010642531865","Tanzania","Shinyanga","T1","LLM 0","NA","g/d/individual",38.2,"Weight Gain","Feed Addition-Feed Processing","Cattle",NA,NA,NA,NA,"T2..T3..T4","LLM 1.2..LLM 2..LLM 2.6","Leucaena leucocephala",124.533333333333,3412.60333333333,NA
"JS0176","10.1023/a:;1010642531865","Tanzania","Shinyanga","T1","LLM 0","NA","kg/individual",270.5,"Meat Yield","Feed Addition-Feed Processing","Cattle",NA,NA,NA,NA,"T2..T3..T4","LLM 1.2..LLM 2..LLM 2.6","Leucaena leucocephala",415.633333333333,2432.46333333333,NA
"JS0176","10.1023/a:;1010642531865","Tanzania","Shinyanga","T1","LLM 0","NA","l/d/individual",6.3,"Milk Yield","Feed Addition-Feed Processing","Cattle",NA,NA,NA,NA,"T2..T3..T4","LLM 1.2..LLM 2..LLM 2.6","Leucaena leucocephala",11.8333333333333,7.16333333333333,NA
"JS0177","10.1023/a:;1005859617603","Tanzania","Tumbi","T1","T D 1 CON E 2","1990","g/d/individual",13.8,"Weight Gain","Feed Addition","Goat",NA,NA,NA,NA,"T6..T8","T D3 E2..T D4 E2","Leucaena leucocephala..Sesbania sp",31.9,25.92,NA
"JS0177","10.1023/a:;1005859617603","Tanzania","Tumbi","T1","T D 1 CON E 2","1991","g/d/individual",19.9,"Weight Gain","Feed Addition","Goat",NA,NA,NA,NA,"T6..T8","T D3 E2..T D4 E2","Leucaena leucocephala..Sesbania sp",27.5,18,NA
"JS0177","10.1023/a:;1005859617603","Tanzania","Tumbi","T2","T D 1 CON E1","1990","g/d/individual",6.7,"Weight Gain","Feed Addition","Goat",NA,NA,NA,NA,"T5..T7","T D3 E1..T D4 E1","Leucaena leucocephala..Sesbania sp",15.55,2.645,NA
"JS0177","10.1023/a:;1005859617603","Tanzania","Tumbi","T2","T D 1 CON E1","1991","g/d/individual",21.6,"Weight Gain","Feed Addition","Goat",NA,NA,NA,NA,"T5..T7","T D3 E1..T D4 E1","Leucaena leucocephala..Sesbania sp",32.9,42.32,NA
"JS0192","10.1016/0921-4488(90)90026-3","Tanzania","SUA Farm, Morogoro","T1","H","NA","g/d/individual",20,"Weight Gain","Feed Addition","Goat",NA,NA,NA,NA,"T2..T3..T4","HL1..HL2..HL3","Leucaena leucocephala",27.3333333333333,14.3333333333333,NA
"JS0192","10.1016/0921-4488(90)90026-3","Tanzania","SUA Farm, Morogoro","T1","H","NA","kg/individual",13.93,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T2..T3..T4","HL1..HL2..HL3","Leucaena leucocephala",15.29,0.0412000000000001,NA
"JS0196","10.1007/s10457-005-2648-1","Tanzania","SUA Farm, Morogoro","T5","T D5 FEMALE CSC Con...T D5 MALE CSC Con","NA","kg/d/individual",0.0331,"Weight Gain","Feed Substitution","Goat",NA,NA,NA,NA,"T1..T2..T3..T4","T D1 FEMALE Albizia BC...T D1 MALE Albizia BC..T D2 FEMALE Gliricidia BC...T D2 MALE Gliricidia BC..T D3 FEMALE Leucaena BC...T D3 MALE Leucaena BC..T D4 FEMALE Moringa BC...T D4 MALE Moringa BC","Albizia lebbeck..Gliciridia sepium..Leucaena leucocephala..Moringa oleifera",0.0238,1.83333333333333e-06,NA
"JS0196","10.1007/s10457-005-2648-1","Tanzania","SUA Farm, Morogoro","T5","T D5 FEMALE CSC Con...T D5 MALE CSC Con","NA","kg/individual",12.9,"Meat Yield","Feed Substitution","Goat",NA,NA,NA,NA,"T1..T2..T3..T4","T D1 FEMALE Albizia BC...T D1 MALE Albizia BC..T D2 FEMALE Gliricidia BC...T D2 MALE Gliricidia BC..T D3 FEMALE Leucaena BC...T D3 MALE Leucaena BC..T D4 FEMALE Moringa BC...T D4 MALE Moringa BC","Albizia lebbeck..Gliciridia sepium..Leucaena leucocephala..Moringa oleifera",11.95,0.0166666666666665,NA
"JS0197","10.1016/s0377-8401(98)00139-4","Tanzania","Magadu Research Farm, University of Sokoine","T1","R1 0DLL","NA","g/d/individual",36.44,"Weight Gain","Feed Substitution","Goat","CP","%","%",57.9,"T2..T3..T4","R2 15DLL..R3 30DLL..R4 45DLL","Leucaena leucocephala",40.23,0.761700000000002,51.3533333333333
"JS0197","10.1016/s0377-8401(98)00139-4","Tanzania","Magadu Research Farm, University of Sokoine","T1","R1 0DLL","NA","g/d/individual",36.44,"Weight Gain","Feed Substitution","Goat","DM","%","%",71.2,"T2..T3..T4","R2 15DLL..R3 30DLL..R4 45DLL","Leucaena leucocephala",40.23,0.761700000000002,69.4133333333333
"JS0197","10.1016/s0377-8401(98)00139-4","Tanzania","Magadu Research Farm, University of Sokoine","T1","R1 0DLL","NA","kg/individual",15,"Meat Yield","Feed Substitution","Goat","CP","%","%",57.9,"T2..T3..T4","R2 15DLL..R3 30DLL..R4 45DLL","Leucaena leucocephala",15.2366666666667,0.00253333333333331,51.3533333333333
"JS0197","10.1016/s0377-8401(98)00139-4","Tanzania","Magadu Research Farm, University of Sokoine","T1","R1 0DLL","NA","kg/individual",15,"Meat Yield","Feed Substitution","Goat","DM","%","%",71.2,"T2..T3..T4","R2 15DLL..R3 30DLL..R4 45DLL","Leucaena leucocephala",15.2366666666667,0.00253333333333331,69.4133333333333
"JS0205","10.1007/s10457-005-0503-z","Tanzania","ICRAF, Meatu","T1","Hay Con","1997","kg/d/individual",-0.3,"Weight Gain","Feed Addition-Feed Processing","Cattle",NA,NA,NA,NA,"T2..T3..T4","Leucaena LLM 1..Leucaena LLM 2..Leucaena LLM 3","Leucaena leucocephala",0.14,0.0144,NA
"JS0205","10.1007/s10457-005-0503-z","Tanzania","ICRAF, Meatu","T1","Hay Con","1997","kg/individual",160,"Meat Yield","Feed Addition-Feed Processing","Cattle",NA,NA,NA,NA,"T2..T3..T4","Leucaena LLM 1..Leucaena LLM 2..Leucaena LLM 3","Leucaena leucocephala",160.666666666667,56.3333333333333,NA
"JS0206","10.1016/j.smallrumres.2006.02.008","Tanzania","ICRAF, Meatu","T1","T1 NPH","2003","g/d/individual",-71.4,"Weight Gain","Feed Addition-Feed Processing","Goat",NA,NA,NA,NA,"T2..T3..T4","T2 NLM..T3 PLM..T4 LLM","Vachellia nilotica..Acacia polyacantha..Leucaena leucocephala",104.766666666667,3328.57333333333,NA
"JS0206","10.1016/j.smallrumres.2006.02.008","Tanzania","ICRAF, Meatu","T1","T1 NPH","2003","kg/individual",13.9,"Meat Yield","Feed Addition-Feed Processing","Goat",NA,NA,NA,NA,"T2..T3..T4","T2 NLM..T3 PLM..T4 LLM","Vachellia nilotica..Acacia polyacantha..Leucaena leucocephala",15.3666666666667,0.223333333333334,NA
"JS0211","https://link.springer.com/content/pdf/10.1023/A:1021396629613.pdf?pdf=button%20sticky","Tanzania","SUA Farm, Morogoro","T1","T1 0% MOOL","NA","g/d/individual",12.9,"Weight Gain","Feed Substitution","Goat","CP","%","%",64.7,"T2..T3..T4","T2 9% MOOL..T3 27% MOOL..T4 36% MOOL","Moringa oleifera",14.9,1.57,62.6333333333333
"JS0211","https://link.springer.com/content/pdf/10.1023/A:1021396629613.pdf?pdf=button%20sticky","Tanzania","SUA Farm, Morogoro","T1","T1 0% MOOL","NA","g/d/individual",12.9,"Weight Gain","Feed Substitution","Goat","DM","%","%",56,"T2..T3..T4","T2 9% MOOL..T3 27% MOOL..T4 36% MOOL","Moringa oleifera",14.9,1.57,57.1
"JS0211","https://link.springer.com/content/pdf/10.1023/A:1021396629613.pdf?pdf=button%20sticky","Tanzania","SUA Farm, Morogoro","T1","T1 0% MOOL","NA","kg/individual",10.1,"Meat Yield","Feed Substitution","Goat","CP","%","%",64.7,"T2..T3..T4","T2 9% MOOL..T3 27% MOOL..T4 36% MOOL","Moringa oleifera",10.9666666666667,0.863333333333333,62.6333333333333
"JS0211","https://link.springer.com/content/pdf/10.1023/A:1021396629613.pdf?pdf=button%20sticky","Tanzania","SUA Farm, Morogoro","T1","T1 0% MOOL","NA","kg/individual",10.1,"Meat Yield","Feed Substitution","Goat","DM","%","%",56,"T2..T3..T4","T2 9% MOOL..T3 27% MOOL..T4 36% MOOL","Moringa oleifera",10.9666666666667,0.863333333333333,57.1
"JS0213.1","https://www.researchgate.net/publication/286951563_Comparison_of_water_melon_Citrullus_vulgaris-seed_meal_Acacia_tortilis_pods_and_sunflower-seed_cake_supplements_in_central_Tanzania_2_Effect_on_hay_intake_and_milk_yield_and_composition_of_Mpwapwa_cow","Tanzania","LPRI Mpwapwa","T2","T D1 Control","NA","kg/d/individual",4.59,"Milk Yield","Feed Addition","Cattle",NA,NA,NA,NA,"T3","T D3 Acacia tortilis","Vachellia tortilis",5.24,NA,NA
