"Code","DOI","Country","Site.ID","CID","C.Descrip","M.Year","Units","MeanC","Out.SubInd","PrName","Product.Simple","DD.Variable","DD.Unit_Control","DD.Unit_trt","DD.Value_Control","TID","T.Descrip","Tree.Feed","MeanT","VarianceT","DD.Value_trt"
"JS0301","10.1186/s40066-018-0182-4","Ethiopia","Zenzelma Campus, Bahir Dar University","T1","T1 No FTL","NA","g/d/individual",67.5,"Weight Gain","Feed Substitution","Sheep",NA,NA,NA,NA,"T2..T3..T4..T5","T2 25% FTL..T3 50% FTL..T4 75% FTL..T5 100% FTL","Ficus thonningii",57.295,20.6263,NA
"JS0301","10.1186/s40066-018-0182-4","Ethiopia","Zenzelma Campus, Bahir Dar University","T1","T1 No FTL","NA","kg/individual",22.8,"Meat Yield","Feed Substitution","Sheep",NA,NA,NA,NA,"T2..T3..T4..T5","T2 25% FTL..T3 50% FTL..T4 75% FTL..T5 100% FTL","Ficus thonningii",21.74,0.259800000000001,NA
"JS0311","10.1007/s11250-012-0327-6","Cameroon","IRAD, Mankon","T1","T D1 Con","NA","g/d/individual",-6,"Weight Gain","Feed Addition","Sheep",NA,NA,NA,NA,"T3","T D3 Leucophala","Leucaena leucocephala",31,NA,NA
"JS0311","10.1007/s11250-012-0327-6","Cameroon","IRAD, Mankon","T1","T D1 Con","NA","kg/individual",16.1,"Meat Yield","Feed Addition","Sheep",NA,NA,NA,NA,"T3","T D3 Leucophala","Leucaena leucocephala",19.4,NA,NA
"JS0314","10.1016/j.smallrumres.2015.05.004","Egypt","New Borg El-Arab City","T4","Con Berseem","NA","g/kg/individual",433,"Meat Yield","Feed Processing-Feed Substitution","Sheep",NA,NA,NA,NA,"T3..T1..T2","Atriplex AT15..Acacia AC15..Atriplex and Acacia TC30","Atriplex nummularia..Acacia saligna..Acacia saligna;Atriplex nummularia",418.333333333333,382.333333333333,NA
"JS0314","10.1016/j.smallrumres.2015.05.004","Egypt","New Borg El-Arab City","T4","Con Berseem","NA","kg/d/individual",0.1492,"Weight Gain","Feed Processing-Feed Substitution","Sheep",NA,NA,NA,NA,"T3..T1..T2","Atriplex AT15..Acacia AC15..Atriplex and Acacia TC30","Atriplex nummularia..Acacia saligna..Acacia saligna;Atriplex nummularia",0.1572,0.00073828,NA
"JS0314","10.1016/j.smallrumres.2015.05.004","Egypt","New Borg El-Arab City","T4","Con Berseem","NA","kg/individual",15.9,"Meat Yield","Feed Processing-Feed Substitution","Sheep",NA,NA,NA,NA,"T3..T1..T2","Atriplex AT15..Acacia AC15..Atriplex and Acacia TC30","Atriplex nummularia..Acacia saligna..Acacia saligna;Atriplex nummularia",15.6333333333333,0.323333333333334,NA
"JS0314","10.1016/j.smallrumres.2015.05.004","Egypt","New Borg El-Arab City","T4","Con Berseem","NA","kg/individual",36.6,"Meat Yield","Feed Processing-Feed Substitution","Sheep",NA,NA,NA,NA,"T3..T1..T2","Atriplex AT15..Acacia AC15..Atriplex and Acacia TC30","Atriplex nummularia..Acacia saligna..Acacia saligna;Atriplex nummularia",37.3666666666667,2.56333333333334,NA
"JS0314","10.1016/j.smallrumres.2015.05.004","Egypt","New Borg El-Arab City","T4","Con Berseem","NA","kg/individual",36.7,"Meat Yield","Feed Processing-Feed Substitution","Sheep",NA,NA,NA,NA,"T3..T1..T2","Atriplex AT15..Acacia AC15..Atriplex and Acacia TC30","Atriplex nummularia..Acacia saligna..Acacia saligna;Atriplex nummularia",37.3666666666667,2.56333333333334,NA
"JS0316","10.1007/s11250-013-0413-4","Ethiopia","ATVET College, Dilla","T1","Con Hay Bundle1","NA","kg/d/individual",0.0362,"Weight Gain","Feed Addition","Sheep","CP","Coefficient","Coefficient",0.55,"T4","Sesban Bundle1","Sesbania sesban",0.074,NA,0.74
"JS0316","10.1007/s11250-013-0413-4","Ethiopia","ATVET College, Dilla","T1","Con Hay Bundle1","NA","kg/d/individual",0.0362,"Weight Gain","Feed Addition","Sheep","DM","Coefficient","Coefficient",0.59,"T4","Sesban Bundle1","Sesbania sesban",0.074,NA,0.66
"JS0316","10.1007/s11250-013-0413-4","Ethiopia","ATVET College, Dilla","T1","Con Hay Bundle1","NA","kg/individual",22.8,"Meat Yield","Feed Addition","Sheep","CP","Coefficient","Coefficient",0.55,"T4","Sesban Bundle1","Sesbania sesban",26.9,NA,0.74
"JS0316","10.1007/s11250-013-0413-4","Ethiopia","ATVET College, Dilla","T1","Con Hay Bundle1","NA","kg/individual",22.8,"Meat Yield","Feed Addition","Sheep","DM","Coefficient","Coefficient",0.59,"T4","Sesban Bundle1","Sesbania sesban",26.9,NA,0.66
"JS0316","10.1007/s11250-013-0413-4","Ethiopia","ATVET College, Dilla","T2","Con Mix Bundle2","NA","kg/d/individual",0.0995,"Weight Gain","Feed Substitution","Sheep","CP","Coefficient","Coefficient",0.77,"T5..T6..T7","Sesbania 1 Bundle2..Sesbania 2 Bundle2..Sesbania 3 Bundle2","Sesbania sesban",0.0835333333333333,0.000137053333333333,0.74
"JS0316","10.1007/s11250-013-0413-4","Ethiopia","ATVET College, Dilla","T2","Con Mix Bundle2","NA","kg/d/individual",0.0995,"Weight Gain","Feed Substitution","Sheep","DM","Coefficient","Coefficient",0.7,"T5..T6..T7","Sesbania 1 Bundle2..Sesbania 2 Bundle2..Sesbania 3 Bundle2","Sesbania sesban",0.0835333333333333,0.000137053333333333,0.66
"JS0316","10.1007/s11250-013-0413-4","Ethiopia","ATVET College, Dilla","T2","Con Mix Bundle2","NA","kg/individual",27.9,"Meat Yield","Feed Substitution","Sheep","CP","Coefficient","Coefficient",0.77,"T5..T6..T7","Sesbania 1 Bundle2..Sesbania 2 Bundle2..Sesbania 3 Bundle2","Sesbania sesban",26.9666666666667,0.643333333333335,0.74
"JS0316","10.1007/s11250-013-0413-4","Ethiopia","ATVET College, Dilla","T2","Con Mix Bundle2","NA","kg/individual",27.9,"Meat Yield","Feed Substitution","Sheep","DM","Coefficient","Coefficient",0.7,"T5..T6..T7","Sesbania 1 Bundle2..Sesbania 2 Bundle2..Sesbania 3 Bundle2","Sesbania sesban",26.9666666666667,0.643333333333335,0.66
"JS0324.1","10.1016/j.livprodsci.2003.07.010","Tanzania","LPRI Mpwapwa","T3","T D3 Con","NA","kg/d/individual",5.4,"Milk Yield","Feed Substitution","Cattle",NA,NA,NA,NA,"T1..T2","T D1 Acacia1..T D2 Acacis2","Vachellia tortilis",5.8,0.0800000000000001,NA
"JS0324.2","10.1016/j.livprodsci.2003.07.010","Tanzania","LPRI Mpwapwa","T3","T D2 Con B2","NA","kg/d/individual",5.5,"Milk Yield","Feed Processing-Feed Substitution","Cattle",NA,NA,NA,NA,"T2","T D1 F.albida 3 B2","Faidherbia albida",5.1,NA,NA
"JS0324.2","10.1016/j.livprodsci.2003.07.010","Tanzania","LPRI Mpwapwa","T5","T D3 Con B1","NA","kg/d/individual",5.5,"Milk Yield","Feed Processing-Feed Substitution","Cattle",NA,NA,NA,NA,"T1..T4","T D1 F.albida 1 B1..T D2 F.albida 2 B1","Faidherbia albida",5.55,0.0449999999999999,NA
"JS0343","10.1016/j.anifeedsci.2013.05.014","Nigeria","FCWM Teaching and Research Farm, New-Bussa","T1","T D1 Gamba grass","NA","g/d/individual",24,"Weight Gain","Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4..T5","T D2 PE1..T D3 PE2..T D4 PE3..T D5 PE4","Pterocarpus erinaceus",51.5,153.666666666667,NA
"JS0343","10.1016/j.anifeedsci.2013.05.014","Nigeria","FCWM Teaching and Research Farm, New-Bussa","T1","T D1 Gamba grass","NA","kg/individual",9.5,"Meat Yield","Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3..T4..T5","T D2 PE1..T D3 PE2..T D4 PE3..T D5 PE4","Pterocarpus erinaceus",11.8,1.02666666666667,NA
"JS0419","10.1016/S0921-4488(03)00186-X","Tunisia","OEP Experimental Farm, Jebibina","T1","T1 BS Con Bundle1","1996","kg/d/individual",0.108,"Weight Gain","Feed Substitution","Sheep",NA,NA,NA,NA,"T4","T2 BA Bundle1","Atriplex nummularia",0.059,NA,NA
"JS0419","10.1016/S0921-4488(03)00186-X","Tunisia","OEP Experimental Farm, Jebibina","T2","T1 BS Con Bundle2","1996","kg/d/individual",0.108,"Weight Gain","Feed Substitution","Sheep",NA,NA,NA,NA,"T6","T3 CS Bundle2","Opuntia ficus indica",0.119,NA,NA
"JS0419","10.1016/S0921-4488(03)00186-X","Tunisia","OEP Experimental Farm, Jebibina","T3","T1 BS Con Bundle3","1996","kg/d/individual",0.108,"Weight Gain","Feed Substitution","Sheep",NA,NA,NA,NA,"T8","T4 CA Bundle3","Atriplex nummularia;Opuntia ficus indica",0.081,NA,NA
"JS0419","10.1016/S0921-4488(03)00186-X","Tunisia","OEP Experimental Farm, Jebibina","T5","T2 BA Con  Bundle4","1996","kg/d/individual",0.059,"Weight Gain","Feed Substitution","Sheep",NA,NA,NA,NA,"T9","T4 CA Bundle4","Atriplex nummularia;Opuntia ficus indica",0.081,NA,NA
"JS0419","10.1016/S0921-4488(03)00186-X","Tunisia","OEP Experimental Farm, Jebibina","T7","T3 CS Con Bundle5","1996","kg/d/individual",0.119,"Weight Gain","Feed Substitution","Sheep",NA,NA,NA,NA,"T10","T4 CA Bundle5","Atriplex nummularia;Opuntia ficus indica",0.081,NA,NA
"LM0024.1","10.1016/j.smallrumres.2005.05.023","Cameroon","Animal Experimental Farm, Dschang University","T1","T Con Above 16","2002","kg/individual",20.6,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T3","T S Above 16","Calliandra calothyrsus;Leucaena leucocephala",21.8,NA,NA
"LM0024.1","10.1016/j.smallrumres.2005.05.023","Cameroon","Animal Experimental Farm, Dschang University","T1","T Con Above 16","2003","kg/individual",23,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T3","T S Above 16","Calliandra calothyrsus;Leucaena leucocephala",24.7,NA,NA
"LM0024.1","10.1016/j.smallrumres.2005.05.023","Cameroon","Animal Experimental Farm, Dschang University","T2","T Con below 16","2002","kg/individual",16.6,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T4","T S below 16","Calliandra calothyrsus;Leucaena leucocephala",17.4,NA,NA
"LM0024.1","10.1016/j.smallrumres.2005.05.023","Cameroon","Animal Experimental Farm, Dschang University","T2","T Con below 16","2003","kg/individual",21.3,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T4","T S below 16","Calliandra calothyrsus;Leucaena leucocephala",21.7,NA,NA
"LM0024.2","10.1016/j.smallrumres.2005.02.011","Cameroon","Animal Experimental Farm, Dschang University","T1","T1","NA","g/d/individual",184.927,"Milk Yield","Feed Addition","Goat",NA,NA,NA,NA,"T2","T2","Calliandra calothyrsus;Leucaena leucocephala",361.175,NA,NA
"LM0024.2","10.1016/j.smallrumres.2005.02.011","Cameroon","Animal Experimental Farm, Dschang University","T1","T1","NA","g/d/individual",327.247,"Milk Yield","Feed Addition","Goat",NA,NA,NA,NA,"T2","T2","Calliandra calothyrsus;Leucaena leucocephala",423.283,NA,NA
"LM0104","10.1007/bf02236887","Nigeria","UNIMAID Research Farm","T1","0% A. sieberiana","NA","g/d/individual",111,"Weight Gain","Feed Substitution","Sheep","CP","%","%",60.6,"T2..T3..T4..T5","15% A. sieberiana..30% A. sieberiana..45% A. sieberiana..60% A. sieberiana","Vachellia sieberiana",138.25,511.583333333333,65.775
"LM0104","10.1007/bf02236887","Nigeria","UNIMAID Research Farm","T1","0% A. sieberiana","NA","g/d/individual",111,"Weight Gain","Feed Substitution","Sheep","DM","%","%",57.8,"T2..T3..T4..T5","15% A. sieberiana..30% A. sieberiana..45% A. sieberiana..60% A. sieberiana","Vachellia sieberiana",138.25,511.583333333333,58.2
"LM0150","10.1017/S1357729800015265","Kenya","KARI Mtwapa","T1","T1 Control Diet 0 Gliricidia","1993","g/d/individual",306,"Weight Gain","Feed Addition","Cattle",NA,NA,NA,NA,"T3..T5..T7..T9","T2 7.5 g Gliricidia..T3 15 g Gliricidia..T4 22.5 g Gliricidia..T5 30 g Gliricidia","Gliciridia sepium",409,3068.66666666667,NA
"LM0150","10.1017/S1357729800015265","Kenya","KARI Mtwapa","T2","T1 Control Diet 0 Leucaena","NA","g/d/individual",538,"Weight Gain","Feed Addition","Cattle",NA,NA,NA,NA,"T4..T6..T8..T10","T2 7.5 g Leucaena..T3 15 g Leucaena..T4 22.5 g Leucaena..T5 30 g Leucaena","Leucaena leucocephala",767.25,4270.91666666667,NA
"LM0151.1","10.1016/s0301-6226(97)00018-3","Kenya","KARI Mtwapa","T5","Stover Con","NA","kg/d/individual",0.203,"Weight Gain","Feed Addition","Cattle","DM","g/kg","g/kg",516,"T1..T2..T3..T4","Gliricidia1..Gliricidia2..Gliricidia3..Gliricidia4","Gliciridia sepium",0.3345,0.0119563333333333,509.5
"LM0151.2","10.1016/s0301-6226(97)00018-3","Kenya","KARI Mtwapa","T5","Stover Con","NA","kg/d/individual",0.081,"Weight Gain","Feed Addition","Cattle","DM","g/kg","g/kg",490,"T1..T2..T3..T4","Gliricidia1..Gliricidia2..Leucaena1..Leucaena2","Gliciridia sepium..Leucaena leucocephala",0.54975,0.0413249166666667,574.25
"LM0163","10.1016/j.smallrumres.2005.12.008","Kenya","Pwani University, Kilife","T1","T D Con","NA","g/d/individual",-8,"Weight Gain","Feed Addition","Goat",NA,NA,NA,NA,"T2..T3..T4..T5","T D2..T D3..T D4..T D5","Pithecellobium dulce",29.46,294.9732,NA
"LM0229","10.1017/S1357729800008080","Kenya","KARI Mtwapa","T1","T1 Napier Grass Diet","1991","kg/d/individual",-0.86,"Weight Gain","Feed Addition","Cattle",NA,NA,NA,NA,"T2..T3","T2 (LL) 1 kg leucaena..T3 (LH) 2 kg leucaena","Leucaena leucocephala",0.195,0.00045,NA
"LM0229","10.1017/S1357729800008080","Kenya","KARI Mtwapa","T1","T1 Napier Grass Diet","1991","kg/d/individual",5.1,"Milk Yield","Feed Addition","Cattle",NA,NA,NA,NA,"T2..T3","T2 (LL) 1 kg leucaena..T3 (LH) 2 kg leucaena","Leucaena leucocephala",5.45,0.00499999999999996,NA
"LM0248","10.1016/s0301-6226(99)00004-4","Kenya","Egerton University (Tatton Agricultural Park)","T1","T1 H","1997","g/d/individual",26,"Weight Gain","Feed Addition","Goat",NA,NA,NA,NA,"T2","T2 HG","Gliciridia sepium",43,NA,NA
"LM0248","10.1016/s0301-6226(99)00004-4","Kenya","Egerton University (Tatton Agricultural Park)","T4","T4 HB","1997","g/d/individual",27,"Weight Gain","Feed Addition","Goat",NA,NA,NA,NA,"T3","T3 HGB","Gliciridia sepium",69,NA,NA
"LM0260","10.1023/a:;1005119808090","Kenya","Embu District","T2","Con","1995","kg/d/individual",10.54,"Milk Yield","Feed Addition","Cattle",NA,NA,NA,NA,"T1","Calliandra","Calliandra calothyrsus",10.91,NA,NA
"LM0266","10.1016/s0921-4488(97)00059-x","Kenya","Kimose, Sheep and Goat","T3","Con male...Con female","1995","kg/d/individual",0.0496,"Weight Gain","Feed Addition","Goat",NA,NA,NA,NA,"T6..T5..T1..T2..T4","tortilis2 male...tortilis2 female..nilotica3 male...nilotica3 female..brevispica4 male...brevispica4 female..brownii5 male...brownii5 female..discolor6 male...discolor6 female","Vachellia tortilis..Vachellia nilotica..Acacia brevispica..Terminalia brownii..Berchemia discolor",0.0623,2.2415e-05,NA
"LM0280","10.5713/ajas.2000.1249","Kenya","Egerton University (Tatton Agricultural Park)","T3","T D3","1996","kg/d/individual",-0.019,"Weight Gain","Feed Addition","Goat",NA,NA,NA,NA,"T1..T2","T D1..T D2","Leucaena leucocephala..Gliciridia sepium",-0.001,0.000288,NA
"LM0280","10.5713/ajas.2000.1249","Kenya","Egerton University (Tatton Agricultural Park)","T3","T D3","1996","kg/d/individual",0.6,"Milk Yield","Feed Addition","Goat",NA,NA,NA,NA,"T1..T2","T D1..T D2","Leucaena leucocephala..Gliciridia sepium",0.55,0.005,NA
"LM0295","10.1007/s11250-014-0615-4","Ethiopia","Werer Agricultural Research Center (WARC)","T1","T D1 Con","NA","g/d/individual",7.14285714285716,"Weight Gain","Feed Addition-Feed Processing","Sheep",NA,NA,NA,NA,"T5","T D5","Prosopis juliflora",36.1904761904762,NA,NA
"LM0295","10.1007/s11250-014-0615-4","Ethiopia","Werer Agricultural Research Center (WARC)","T1","T D1 Con","NA","kg/individual",6.1,"Meat Yield","Feed Addition-Feed Processing","Sheep",NA,NA,NA,NA,"T5","T D5","Prosopis juliflora",8.74,NA,NA
"LM0295","10.1007/s11250-014-0615-4","Ethiopia","Werer Agricultural Research Center (WARC)","T1","T D1 Con","NA","kg/individual",11.7,"Meat Yield","Feed Addition-Feed Processing","Sheep",NA,NA,NA,NA,"T5","T D5","Prosopis juliflora",16.86,NA,NA
"LM0295","10.1007/s11250-014-0615-4","Ethiopia","Werer Agricultural Research Center (WARC)","T1","T D1 Con","NA","kg/individual",17.12,"Meat Yield","Feed Addition-Feed Processing","Sheep",NA,NA,NA,NA,"T5","T D5","Prosopis juliflora",20,NA,NA
"LM0295","10.1007/s11250-014-0615-4","Ethiopia","Werer Agricultural Research Center (WARC)","T1","T D1 Con","NA","kg/individual",17.64,"Meat Yield","Feed Addition-Feed Processing","Sheep",NA,NA,NA,NA,"T5","T D5","Prosopis juliflora",20.48,NA,NA
"LM0295","10.1007/s11250-014-0615-4","Ethiopia","Werer Agricultural Research Center (WARC)","T2","T D2","NA","g/d/individual",82.6190476190476,"Weight Gain","Feed Addition-Feed Processing","Sheep",NA,NA,NA,NA,"T3..T4","T D3..T D4","Prosopis juliflora",69.2857142857143,138.888888888888,NA
"LM0295","10.1007/s11250-014-0615-4","Ethiopia","Werer Agricultural Research Center (WARC)","T2","T D2","NA","kg/individual",9.78,"Meat Yield","Feed Addition-Feed Processing","Sheep",NA,NA,NA,NA,"T3..T4","T D3..T D4","Prosopis juliflora",10.29,0.00979999999999983,NA
"LM0295","10.1007/s11250-014-0615-4","Ethiopia","Werer Agricultural Research Center (WARC)","T2","T D2","NA","kg/individual",18.84,"Meat Yield","Feed Addition-Feed Processing","Sheep",NA,NA,NA,NA,"T3..T4","T D3..T D4","Prosopis juliflora",18.815,0.15125,NA
"LM0295","10.1007/s11250-014-0615-4","Ethiopia","Werer Agricultural Research Center (WARC)","T2","T D2","NA","kg/individual",23.38,"Meat Yield","Feed Addition-Feed Processing","Sheep",NA,NA,NA,NA,"T3..T4","T D3..T D4","Prosopis juliflora",22.51,0.3362,NA
"LM0295","10.1007/s11250-014-0615-4","Ethiopia","Werer Agricultural Research Center (WARC)","T2","T D2","NA","kg/individual",24,"Meat Yield","Feed Addition-Feed Processing","Sheep",NA,NA,NA,NA,"T3..T4","T D3..T D4","Prosopis juliflora",23.14,0.423200000000002,NA
"LM0297","10.1007/s11250-012-0227-9","Ethiopia","Mekelle University","T1","T1 Control (No Leucaena)","NA","g/d/individual",53.33,"Weight Gain","Feed Substitution","Sheep",NA,NA,NA,NA,"T2..T3..T4","T2 15% Leucaena..T3 30% Leucaena..T4 45% Leucaena","Leucaena leucocephala",55.18,10.2675,NA
"LM0297","10.1007/s11250-012-0227-9","Ethiopia","Mekelle University","T1","T1 Control (No Leucaena)","NA","kg/individual",21.5,"Meat Yield","Feed Substitution","Sheep",NA,NA,NA,NA,"T2..T3..T4","T2 15% Leucaena..T3 30% Leucaena..T4 45% Leucaena","Leucaena leucocephala",21.9666666666667,0.0933333333333339,NA
"LM0322","10.4314/sajas.v48i1.10","Nigeria","FUNAAB, Abeokuta","T1","T1 MOLM0","NA","g/d/individual",55.7,"Weight Gain","Feed Processing-Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3","T2 MOLM50..T3 MOLM100","Moringa oleifera",65,5.78000000000002,NA
"LM0322","10.4314/sajas.v48i1.10","Nigeria","FUNAAB, Abeokuta","T1","T1 MOLM0","NA","kg/individual",9.7,"Meat Yield","Feed Processing-Feed Substitution","Goat",NA,NA,NA,NA,"T2..T3","T2 MOLM50..T3 MOLM100","Moringa oleifera",9.9,0.0199999999999999,NA
"LM0349","10.1016/j.smallrumres.2015.02.018","Zimbabwe","Makoholi Research Station","T4","T4 Commercial Sheep Meal Diet","NA","kg/d/individual",0.282847896440129,"Weight Gain","Feed Substitution","Goat",NA,NA,NA,NA,"T1..T2..T3","T1 CACT-AA..T2 CACT-LL..T3 CACT-MA","Acacia angustissima;Opuntia ficus indica..Leucaena leucocephala;Opuntia ficus indica..Opuntia ficus indica",0.251402373246494,0.000593163386807589,NA
"NJ0025","10.1111/jpn.12303",NA,"Makoholi Research Station","T5","Urea-treated strover","2010","g/d/individual",0.32,"Weight Gain","Feed Addition","Cattle",NA,NA,NA,NA,"T3","Mixed forage meal","Leucaena leucocephala",0.305,NA,NA
"NJ0025","10.1111/jpn.12303",NA,"Makoholi Research Station","T5","Urea-treated strover","2010","kg/individual",58.7,"Meat Yield","Feed Addition","Cattle",NA,NA,NA,NA,"T3","Mixed forage meal","Leucaena leucocephala",57.2,NA,NA
"NJ0025","10.1111/jpn.12303",NA,"Makoholi Research Station","T5","Urea-treated strover","2011","g/d/individual",0.397,"Weight Gain","Feed Addition","Cattle",NA,NA,NA,NA,"T3","Mixed forage meal","Leucaena leucocephala",0.4,NA,NA
"NJ0025","10.1111/jpn.12303",NA,"Makoholi Research Station","T5","Urea-treated strover","2012","g/d/individual",0.439,"Weight Gain","Feed Addition","Cattle",NA,NA,NA,NA,"T3","Mixed forage meal","Leucaena leucocephala",0.429,NA,NA
"NJ0025","10.1111/jpn.12303",NA,"Makoholi Research Station","T5","Urea-treated strover","2012","kg/individual",254,"Meat Yield","Feed Addition","Cattle",NA,NA,NA,NA,"T3","Mixed forage meal","Leucaena leucocephala",244.3,NA,NA
"NJ0032","10.1007/s11250-018-1577-8","Ethiopia","Mekelle University","T1","SB-0","NA","g/d/individual",41.38,"Weight Gain","Feed Processing-Feed Substitution","Sheep",NA,NA,NA,NA,"T5..T2..T3..T4","SB-5..SB-10..SB-15..SB-20","Atriplex nummularia",39.5325,8.05549166666666,NA
"NJ0032","10.1007/s11250-018-1577-8","Ethiopia","Mekelle University","T1","SB-0","NA","kg/individual",7.03,"Meat Yield","Feed Processing-Feed Substitution","Sheep",NA,NA,NA,NA,"T5..T2..T3..T4","SB-5..SB-10..SB-15..SB-20","Atriplex nummularia",6.75,0.1866,NA
"NJ0032","10.1007/s11250-018-1577-8","Ethiopia","Mekelle University","T1","SB-0","NA","kg/individual",14.6,"Meat Yield","Feed Processing-Feed Substitution","Sheep",NA,NA,NA,NA,"T5..T2..T3..T4","SB-5..SB-10..SB-15..SB-20","Atriplex nummularia",14.3925,0.735091666666667,NA
"NJ0032","10.1007/s11250-018-1577-8","Ethiopia","Mekelle University","T1","SB-0","NA","kg/individual",17.73,"Meat Yield","Feed Processing-Feed Substitution","Sheep",NA,NA,NA,NA,"T5..T2..T3..T4","SB-5..SB-10..SB-15..SB-20","Atriplex nummularia",17.1525,0.563624999999999,NA
"NJ0032","10.1007/s11250-018-1577-8","Ethiopia","Mekelle University","T1","SB-0","NA","kg/individual",19.35,"Meat Yield","Feed Processing-Feed Substitution","Sheep",NA,NA,NA,NA,"T5..T2..T3..T4","SB-5..SB-10..SB-15..SB-20","Atriplex nummularia",17.99,1.0596,NA
"NN0061","10.1023/a:;1025875714804","Niger","ICRISAT Sahelian Centre, Sadore","T3","T CON","1997","g/d/individual",-30,"Weight Gain","Feed Addition","Sheep",NA,NA,NA,NA,"T4..T5..T1..T2","T Ziziphus 1 HOUR..T Ziziphus 2 HOURS..T Combretum 1 HOUR..T Combretum 2 HOURS","Ziziphus jujuba..NA",-31.25,81.5833333333333,NA
"NN0083","10.1016/j.smallrumres.2009.09.004","Tunisia","INRAT Bourbia","T1","T Barley Concentrate CON Goat","2004","g/d/individual",45.9,"Weight Gain","Feed Substitution","Goat",NA,NA,NA,NA,"T3","T Cactus Concentrate Goat","Opuntia ficus indica",23.8,NA,NA
"NN0083","10.1016/j.smallrumres.2009.09.004","Tunisia","INRAT Bourbia","T1","T Barley Concentrate CON Goat","2004","kg/individual",10,"Meat Yield","Feed Substitution","Goat",NA,NA,NA,NA,"T3","T Cactus Concentrate Goat","Opuntia ficus indica",8.6,NA,NA
"NN0083","10.1016/j.smallrumres.2009.09.004","Tunisia","INRAT Bourbia","T2","T Barley Concentrate CON Sheep","2004","kg/individual",15.1,"Meat Yield","Feed Substitution","Sheep",NA,NA,NA,NA,"T4","T Cactus Concentrate Sheep","Opuntia ficus indica",14.2,NA,NA
"NN0092.2","10.1100/2012/321567","Tunisia","INRAT Oueslatia","T1","C130","NA","g/d",35,"Weight Gain","Feed Addition","Goat",NA,NA,NA,NA,"T2","C260","Opuntia ficus indica",55,NA,NA
"NN0092.2","10.1100/2012/321567","Tunisia","INRAT Oueslatia","T1","C130","NA","g/individual/day",0.04,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T2","C260","Opuntia ficus indica",0.03,NA,NA
"NN0092.2","10.1100/2012/321567","Tunisia","INRAT Oueslatia","T1","C130","NA","g/individual/day",0.3,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T2","C260","Opuntia ficus indica",0.31,NA,NA
"NN0092.2","10.1100/2012/321567","Tunisia","INRAT Oueslatia","T1","C130","NA","g/individual/day",0.69,"Meat Yield","Feed Addition","Goat",NA,NA,NA,NA,"T2","C260","Opuntia ficus indica",0.7,NA,NA
"NN0106","10.5897/AJB10.1539","Nigeria","OOU College of Agricultural Science Teaching & Reseach Farm, Ayetoro","T1","B0","NA","g/individual/day",0.51,"Meat Yield","Feed Substitution","Sheep",NA,NA,NA,NA,"T5","B4","Leucaena leucocephala",0.445,5.00000000000001e-05,NA
"NN0106","10.5897/AJB10.1539","Nigeria","OOU College of Agricultural Science Teaching & Reseach Farm, Ayetoro","T1","B0","NA","g/individual/day",0.73,"Meat Yield","Feed Substitution","Sheep",NA,NA,NA,NA,"T5","B4","Leucaena leucocephala",0.7,NA,NA
"NN0179","10.1016/s0301-6226(02)00035-0","South Africa","UKZN Ukilinga Research Farm, Pietermaritzburg","T1","Diet 1","NA","g/d/individual",96.9,"Weight Gain","Feed Processing-Feed Substitution","Sheep","DM","g/kg","g/kg",610,"T2..T3..T4..T5","Diet 2..Diet 3..Diet 4..Diet 5","Vachellia sieberiana",120.7,71.0666666666667,572
"NN0179","10.1016/s0301-6226(02)00035-0","South Africa","UKZN Ukilinga Research Farm, Pietermaritzburg","T1","Diet 1","NA","kg/individual",29.6,"Meat Yield","Feed Processing-Feed Substitution","Sheep","DM","g/kg","g/kg",610,"T2..T3..T4..T5","Diet 2..Diet 3..Diet 4..Diet 5","Vachellia sieberiana",31.175,0.269166666666666,572
"NN0188","https://doi.org/10.1016/0377-8401(92)90062-B","Ethiopia","ILRI, Debre Zeit","T1","Diet 0","NA","kg/d/individual",6.48,"Milk Yield","Feed Substitution","Cattle","CP","%","%",59.2,"T3..T4..T2","Diet 33..Diet 66..Diet 100","Sesbania sesban",5.17,0.3907,56.1
"NN0188","https://doi.org/10.1016/0377-8401(92)90062-B","Ethiopia","ILRI, Debre Zeit","T1","Diet 0","NA","kg/d/individual",6.48,"Milk Yield","Feed Substitution","Cattle","DM","%","%",56.7,"T3..T4..T2","Diet 33..Diet 66..Diet 100","Sesbania sesban",5.17,0.3907,57.2333333333333
